Short-term NZ traveller departure totals (Monthly),,,,
,Actual Counts,Seasonally Adjusted,Trend,Counts Derived from a Sample
1928M05,1277,..,..,1277
1928M06,1283,..,..,1283
1928M07,1402,..,..,1402
1928M08,2027,..,..,2027
1928M09,961,..,..,961
1928M10,830,..,..,830
1928M11,743,..,..,743
1928M12,1211,..,..,1211
1929M01,804,..,..,804
1929M02,1257,..,..,1257
1929M03,1932,..,..,1932
1929M04,1610,..,..,1610
1929M05,1735,..,..,1735
1929M06,1344,..,..,1344
1929M07,1190,..,..,1190
1929M08,1098,..,..,1098
1929M09,952,..,..,952
1929M10,786,..,..,786
1929M11,702,..,..,702
1929M12,1204,..,..,1204
1930M01,891,..,..,891
1930M02,1167,..,..,1167
1930M03,1731,..,..,1731
1930M04,1888,..,..,1888
1930M05,1417,..,..,1417
1930M06,1108,..,..,1108
1930M07,1117,..,..,1117
1930M08,745,..,..,745
1930M09,669,..,..,669
1930M10,520,..,..,520
1930M11,443,..,..,443
1930M12,844,..,..,844
1931M01,558,..,..,558
1931M02,702,..,..,702
1931M03,1206,..,..,1206
1931M04,1174,..,..,1174
1931M05,807,..,..,807
1931M06,807,..,..,807
1931M07,589,..,..,589
1931M08,506,..,..,506
1931M09,490,..,..,490
1931M10,487,..,..,487
1931M11,438,..,..,438
1931M12,673,..,..,673
1932M01,397,..,..,397
1932M02,768,..,..,768
1932M03,1684,..,..,1684
1932M04,1113,..,..,1113
1932M05,881,..,..,881
1932M06,755,..,..,755
1932M07,682,..,..,682
1932M08,604,..,..,604
1932M09,526,..,..,526
1932M10,536,..,..,536
1932M11,500,..,..,500
1932M12,835,..,..,835
1933M01,556,..,..,556
1933M02,615,..,..,615
1933M03,1115,..,..,1115
1933M04,960,..,..,960
1933M05,891,..,..,891
1933M06,839,..,..,839
1933M07,726,..,..,726
1933M08,715,..,..,715
1933M09,607,..,..,607
1933M10,576,..,..,576
1933M11,482,..,..,482
1933M12,928,..,..,928
1934M01,521,..,..,521
1934M02,619,..,..,619
1934M03,1429,..,..,1429
1934M04,980,..,..,980
1934M05,1212,..,..,1212
1934M06,913,..,..,913
1934M07,896,..,..,896
1934M08,1058,..,..,1058
1934M09,878,..,..,878
1934M10,2133,..,..,2133
1934M11,809,..,..,809
1934M12,1543,..,..,1543
1935M01,759,..,..,759
1935M02,928,..,..,928
1935M03,1422,..,..,1422
1935M04,1430,..,..,1430
1935M05,1176,..,..,1176
1935M06,892,..,..,892
1935M07,1209,..,..,1209
1935M08,749,..,..,749
1935M09,692,..,..,692
1935M10,716,..,..,716
1935M11,531,..,..,531
1935M12,1099,..,..,1099
1936M01,692,..,..,692
1936M02,750,..,..,750
1936M03,1694,..,..,1694
1936M04,1320,..,..,1320
1936M05,1434,..,..,1434
1936M06,1142,..,..,1142
1936M07,1053,..,..,1053
1936M08,844,..,..,844
1936M09,864,..,..,864
1936M10,1037,..,..,1037
1936M11,539,..,..,539
1936M12,1589,..,..,1589
1937M01,758,..,..,758
1937M02,1214,..,..,1214
1937M03,2354,..,..,2354
1937M04,1627,..,..,1627
1937M05,1732,..,..,1732
1937M06,1387,..,..,1387
1937M07,1153,..,..,1153
1937M08,1421,..,..,1421
1937M09,970,..,..,970
1937M10,1017,..,..,1017
1937M11,604,..,..,604
1937M12,1543,..,..,1543
1938M01,1256,..,..,1256
1938M02,1257,..,..,1257
1938M03,2416,..,..,2416
1938M04,2332,..,..,2332
1938M05,1982,..,..,1982
1938M06,1414,..,..,1414
1938M07,1681,..,..,1681
1938M08,1371,..,..,1371
1938M09,1209,..,..,1209
1938M10,954,..,..,954
1938M11,799,..,..,799
1938M12,1780,..,..,1780
1939M01,908,..,..,908
1939M02,1184,..,..,1184
1939M03,1930,..,..,1930
1939M04,1995,..,..,1995
1939M05,1660,..,..,1660
1939M06,1243,..,..,1243
1939M07,1259,..,..,1259
1939M08,1054,..,..,1054
1939M09,607,..,..,607
1939M10,293,..,..,293
1939M11,194,..,..,194
1939M12,675,..,..,675
1940M01,273,..,..,273
1940M02,324,..,..,324
1940M03,628,..,..,628
1940M04,545,..,..,545
1940M05,538,..,..,538
1940M06,422,..,..,422
1940M07,328,..,..,328
1940M08,262,..,..,262
1940M09,247,..,..,247
1940M10,224,..,..,224
1940M11,204,..,..,204
1940M12,333,..,..,333
1941M01,168,..,..,168
1941M02,170,..,..,170
1941M03,174,..,..,174
1941M04,192,..,..,192
1941M05,227,..,..,227
1941M06,199,..,..,199
1941M07,370,..,..,370
1941M08,39,..,..,39
1941M09,254,..,..,254
1941M10,185,..,..,185
1941M11,120,..,..,120
1941M12,103,..,..,103
1942M01,33,..,..,33
1942M02,29,..,..,29
1942M03,14,..,..,14
1942M04,12,..,..,12
1942M05,12,..,..,12
1942M06,20,..,..,20
1942M07,21,..,..,21
1942M08,25,..,..,25
1942M09,33,..,..,33
1942M10,31,..,..,31
1942M11,34,..,..,34
1942M12,33,..,..,33
1943M01,31,..,..,31
1943M02,32,..,..,32
1943M03,48,..,..,48
1943M04,48,..,..,48
1943M05,29,..,..,29
1943M06,39,..,..,39
1943M07,47,..,..,47
1943M08,37,..,..,37
1943M09,49,..,..,49
1943M10,67,..,..,67
1943M11,64,..,..,64
1943M12,122,..,..,122
1944M01,67,..,..,67
1944M02,159,..,..,159
1944M03,46,..,..,46
1944M04,75,..,..,75
1944M05,58,..,..,58
1944M06,91,..,..,91
1944M07,89,..,..,89
1944M08,98,..,..,98
1944M09,121,..,..,121
1944M10,142,..,..,142
1944M11,145,..,..,145
1944M12,82,..,..,82
1945M01,86,..,..,86
1945M02,86,..,..,86
1945M03,195,..,..,195
1945M04,93,..,..,93
1945M05,180,..,..,180
1945M06,132,..,..,132
1945M07,176,..,..,176
1945M08,168,..,..,168
1945M09,321,..,..,321
1945M10,399,..,..,399
1945M11,158,..,..,158
1945M12,221,..,..,221
1946M01,242,..,..,242
1946M02,238,..,..,238
1946M03,275,..,..,275
1946M04,288,..,..,288
1946M05,648,..,..,648
1946M06,429,..,..,429
1946M07,399,..,..,399
1946M08,535,..,..,535
1946M09,568,..,..,568
1946M10,487,..,..,487
1946M11,537,..,..,537
1946M12,720,..,..,720
1947M01,730,..,..,730
1947M02,587,..,..,587
1947M03,937,..,..,937
1947M04,925,..,..,925
1947M05,1163,..,..,1163
1947M06,663,..,..,663
1947M07,651,..,..,651
1947M08,905,..,..,905
1947M09,1149,..,..,1149
1947M10,930,..,..,930
1947M11,687,..,..,687
1947M12,1118,..,..,1118
1948M01,565,..,..,565
